codigo;nombre;esPostable;codigoPadre;naturaleza;clasificacion;permite Custom/Entidad;Relacionadas Entidades;legacyId;legacyCodigo
10000000;Activo;false;;root;asset;false;;;
11000000;Activo corriente;false;10000000;group;asset;false;;;
11100000;Efectivo y bancos;false;11000000;group;asset;false;;;
11110000;Efectivo;false;11100000;group;asset;false;;;
11110001;Billetera;true;11110000;cash;asset;false;;;
11120000;Bancos;false;11100000;group;asset;ConEntidadAutomatica;EntidadFinanciera;;
11200000;Inversiones;false;11000000;group;asset;false;;;
11210000;Inversiones de corto plazo;false;11200000;group;asset;ConEntidadAutomatica;EntidadFinanciera;;
11220000;Inversiones de largo plazo;false;11200000;group;asset;ConEntidadAutomatica;EntidadFinanciera;;
11300000;Cuentas por cobrar;false;11000000;group;asset;false;;;
11310000;Clientes y honorarios;false;11300000;group;asset;ConEntidadAutomatica;PersonaNatural;;
11320000;Por cobrar personales;false;11300000;group;asset;ConEntidadAutomatica;PersonaNatural;;
11400000;Bienes durables;false;11000000;group;asset;false;;;
11410000;Propiedades;false;11400000;group;asset;false;;;
11410001;Inmuebles;true;11410000;property;asset;false;;;
11410002;Terrenos;true;11410000;property;asset;false;;;
11410003;Mejoras en inmuebles;true;11410000;property;asset;false;;;
11420000;Vehiculos;false;11400000;group;asset;false;;;
11420001;Automovil;true;11420000;vehicle;asset;false;;;
11420002;Motocicleta;true;11420000;vehicle;asset;false;;;
11430000;Mobiliario;false;11400000;group;asset;false;;;
11430001;Electrodomesticos;true;11430000;gadget;asset;false;;;
11430002;Muebles Hogar;true;11430000;gadget;asset;false;;;
11440000;Herramientas de trabajo;false;11400000;group;asset;false;;;
11440001;Fisicas;true;11450000;tool;asset;false;;;
11440002;Software de Trabajo;true;11450000;tool;asset;false;;;
20000000;Pasivo;false;;root;liability;false;;;
21000000;Pasivo corriente;false;20000000;group;liability;false;;;
21100000;Cuentas por pagar;false;21000000;group;liability;false;;;
21110000;Proveedores y servicios;false;21100000;group;liability;ConEntidadAutomatica;PersonaNatural;;
21120000;Personales por pagar;false;21100000;group;liability;ConEntidadAutomatica;PersonaNatural;;
21200000;Tarjetas de credito;false;21000000;group;liability;ConEntidadAutomatica;EntidadFinanciera;;
21300000;Prestamos y financiamiento;false;21000000;group;liability;false;;;
21310000;Prestamos bancarios;false;21300000;group;liability;ConEntidadAutomatica;EntidadFinanciera;;
21320000;Credito de consumo;true;21310000;loan;liability;ConEntidadAutomatica;EntidadFinanciera;;
21330000;Prestamos informales;true;21310000;loan;liability;ConEntidadAutomatica;PersonaNatural;;
21330000;Prestamo familiar;false;21300000;group;liability;ConEntidadAutomatica;PersonaNatural;;
21400000;Obligaciones fiscales y sociales;false;21000000;group;liability;false;;;
21400001;Impuestos Estatales;true;21400000;tax;liability;ConEntidadAutomatica;EntidadGubernamental;;
21400002;Impuestos Locales;true;21400000;social_security;liability;ConEntidadAutomatica;EntidadGubernamental;;
21400003;Seguro Social;true;21400000;contribution;liability;ConEntidadAutomatica;EntidadGubernamental;;
40000000;Ingresos;false;;root;income;false;;;
41000000;Ingresos por trabajo;false;40000000;group;income;false;;;
41010000;Trabajo dependiente;false;41000000;group;income;false;;;
41010001;Sueldo / Salario;true;41010000;income_category;income;false;;;
41010002;Prestaciones Legales;true;41010000;income_category;income;false;;;
41010003;Extras de Nomina;true;41010000;income_category;income;false;;;
41020000;Trabajo independiente;false;41000000;group;income;false;;;
41020001;Honorarios;true;41020000;income_category;income;false;;;
41020002;Servicios profesionales;true;41020000;income_category;income;false;;;
41020003;Trabajos ocasionales;true;41020000;income_category;income;false;;;
41100000;Ingresos pasivos;false;40000000;group;income;false;;;
41110000;Rentas;false;41100000;group;income;false;;;
41110001;Alquileres;true;41110000;income_category;income;false;;;
41120000;Rendimientos;false;41100000;group;income;false;;;
41120001;Intereses;true;41120000;income_category;income;false;;;
41120002;Ganancias por invertir;true;41120000;income_category;income;false;;;
41120003;Pensiones;true;41120000;income_category;income;false;;;
41200000;Otros ingresos;false;40000000;group;income;false;;;
41210000;Ingresos extraordinarios;false;41200000;group;income;false;;;
41210001;Devoluciones de impuestos;true;41210000;income_category;income;false;;;
41210002;Subvenciones;true;41210000;income_category;income;false;;;
41210003;Donaciones recibidas;true;41210000;income_category;income;false;;;
41210004;Regalos recibidos;true;41210000;income_category;income;false;;;
41220000;Otros Ingresos;false;41200000;group;income;Custom;;;
60000000;Gastos;false;;root;expense;false;;;
61000000;Gastos del hogar;false;60000000;group;expense;false;;;
61100000;Vivienda;false;61000000;group;expense;false;;;
61110000;Alquiler y vivienda;false;61100000;group;expense;false;;;
61110001;Alquiler de vivienda;true;61110000;expense_category;expense;false;;;
61110002;Mantenimiento vivienda;true;61110000;expense_category;expense;false;;;
61110003;Reparaciones vivienda;true;61110000;expense_category;expense;false;;;
61120000;Servicios del hogar;false;61100000;group;expense;Custom;;;
61120001;Agua;true;61120000;expense_category;expense;false;;;
61120002;Energia;true;61120000;expense_category;expense;false;;;
61120003;Internet;true;61120000;expense_category;expense;false;;;
61120004;Telefono;true;61120000;expense_category;expense;false;;;
61130000;Alimentacion;false;61000000;group;expense;Custom;;;
61130001;Supermercado;true;61130000;expense_category;expense;false;;;
61130002;Restaurantes;true;61130000;expense_category;expense;false;;;
61130003;Desayunos y almuerzos;true;61130000;expense_category;expense;false;;;
61140000;Salud;false;61000000;group;expense;Custom;;;
61140001;Farmacia;true;61140000;expense_category;expense;false;;;
61140002;Clinicas y medicos;true;61140000;expense_category;expense;false;;;
61140003;Dentista;true;61140000;expense_category;expense;false;;;
61140004;Optica;true;61140000;expense_category;expense;false;;;
61150000;Educacion;false;61000000;group;expense;Custom;;;
61150001;Cursos;true;61150000;expense_category;expense;false;;;
61150002;Material escolar;true;61150000;expense_category;expense;false;;;
61150003;Libros;true;61150000;expense_category;expense;false;;;
61160000;Transporte;false;61000000;group;expense;Custom;;;
61160001;Taxi;true;61160000;expense_category;expense;false;;;
61160002;Combustible;true;61160000;expense_category;expense;false;;;
61160003;Mantenimiento vehiculo;true;61160000;expense_category;expense;false;;;
61160004;Parqueo y peajes;true;61160000;expense_category;expense;false;;;
61170000;Gastos personales;false;61000000;group;expense;Custom;;;
61170001;Ropa / Sastreria;true;61170000;expense_category;expense;false;;;
61170002;Estetica / peluqieria;true;61170000;expense_category;expense;false;;;
61170003;Ocio;true;61170000;expense_category;expense;false;;;
61180000;Gastos No escenciales;false;61000000;group;expense;Custom;;;
61180001;Espectaculos / Teatro  / Cine;true;61170000;expense_category;expense;false;;;
61180002;Bares / Restaurantes ;true;61170000;expense_category;expense;false;;;
61180003;Celebraciones / Fiestas / Eventos;true;61170000;expense_category;expense;false;;;
61180004;Gimnasios / Spa ;true;61170000;expense_category;expense;false;;;
61180005;Regalos;true;61170000;expense_category;expense;false;;;
62000000;Gastos financieros;false;60000000;group;expense;Custom;;;
62010000;Servicios financieros;false;62000000;group;expense;false;;;
62010001;Comisiones;true;62010000;expense_category;expense;false;;;
62010002;Intereses;true;62010000;expense_category;expense;false;;;
62010003;Multas;true;62010000;expense_category;expense;false;;;
62020000;Prestamos;false;62000000;group;expense;Custom;;;
62020001;Intereses por prestamo;true;62020000;expense_category;expense;false;;;
62020002;Cargos financieros;true;62020000;expense_category;expense;false;;;
63000000;Obligaciones fiscales y sociales;false;60000000;group;expense;false;;;
63010000;Seguridad social;false;63000000;group;expense;Custom;;;
63010001;Aportes a la seguridad social;true;63010000;expense_category;expense;false;;;
63010002;Tramites publicos;true;63010000;expense_category;expense;false;;;
63020000;Pensiones a Familiares;false;63010000;expense_category;expense;Custom;;;
63020001;Pension Alimenticia;true;63020000;expense_category;expense;false;;;
64000000;Gastos del negocio;false;60000000;group;expense;false;;;
64010000;Servicios profesionales;false;64000000;group;expense;Custom;;;
64010001;Asesores;true;64010000;expense_category;expense;false;;;
64010002;Herramientas de trabajo;true;64010000;expense_category;expense;false;;;
64010003;Proveedores;true;64010000;expense_category;expense;false;;;
64010004;Software y suscripciones;true;64010000;expense_category;expense;false;;;
64020000;Servicios Online;false;64000000;group;expense;Custom;;;
64020001;Streaming Musica y Video;true;64020000;expense_category;expense;false;;;
64020002;Gaming y Suscripciones;true;64020000;expense_category;expense;false;;;
64020003;Consolas Gamming;true;64020000;expense_category;expense;false;;;
